,0
0,.net
1,acrobat reader
2,aix
3,angularjs
4,apache couchdb
5,apache http
6,apache storm
7,apache struts
8,apache tomcat
9,apache zookeeper
10,bro
11,centos
12,chrome
13,citrix
14,couchdb
15,debian
16,docker
17,drools
18,elastic stack
19,elasticsearch
20,excel
21,flash
22,google chrome
23,hids
24,ibm mq
25,iexplorer
26,internet explorer
27,java
28,jboss
29,jre
30,kafka
31,linux
32,mapr
33,mariadb
34,mcafee
35,microsoft office
36,mongodb
37,ms office
38,ms sql
39,mysql
40,nessus
41,nids
42,office
43,openshift
44,openstack
45,openvas
46,oracle
47,ossec
48,powerpoint
49,quicktime
50,red hat
51,redhat
52,rhel
53,sap
54,sap gui
55,scada
56,selenium
57,shockwave
58,silverlight
59,snort
60,splunk
61,sql
62,sqlite
63,storm
64,struts
65,suricata
66,suse
67,suselinux
68,tomcat
69,ubuntu
70,visio
71,vsphere
72,wildfly
73,win 10
74,win xp
75,win10
76,win2000
77,win7
78,win8.1
79,windows
80,windows 10
81,windows 2000
82,windows 7
83,windows 8.1
84,windows nt
85,windows xp
86,winnt
87,word
88,zookeeper
